,score,Game,Year,Publisher,North America,Europe,Japan,Rest of World,global_unit_sales
160,6.0,Sherlock Holmes: The Devil'S Daughter,2016.0,Bigben Interactive,0.05,0.0,0.0,0.01,0.06
161,5.0,Mighty No. 9,2016.0,Deep Silver,0.04,0.0,0.0,0.01,0.05
162,8.0,Inside,,,0.0,0.0,0.0,0.0,0.0
163,7.0,Lego Star Wars: The Force Awakens,2016.0,Warner Bros. Interactive Entertainment,0.24,0.22,0.0,0.04,0.5
164,6.0,Dead By Daylight,2017.0,505 Games,0.08,0.03,0.0,0.01,0.12
165,2.0,7 Days To Die,2016.0,Telltale Games,0.09,0.02,0.0,0.01,0.12
166,6.0,Song Of The Deep,2016.0,Insomniac Games,0.12,0.0,0.0,0.01,0.13
167,6.0,The Technomancer,2016.0,Focus Home Interactive,0.03,0.02,0.0,0.0,0.05
168,9.0,Abzu,2017.0,505 Games,0.02,0.0,0.0,0.0,0.02
169,7.0,This Is The Police,2017.0,THQ Nordic,0.0,0.0,0.0,0.0,0.01
170,8.0,Deus Ex: Mankind Divided,2016.0,Square Enix,0.25,0.11,0.0,0.04,0.39
171,8.0,Madden Nfl 17,2016.0,EA Sports,2.14,0.04,0.0,0.26,2.44
172,7.0,Nhl 17,2016.0,EA Sports,0.52,0.01,0.0,0.06,0.6
173,6.0,Recore,2016.0,Microsoft Studios,0.16,0.06,0.01,0.02,0.26
174,9.0,Forza Horizon 3,2016.0,Microsoft Studios,1.64,1.96,0.02,0.32,3.93
175,8.0,Pro Evolution Soccer 2017,2016.0,Konami Digital Entertainment,0.05,0.03,0.0,0.01,0.1
176,9.0,Fifa 17,2016.0,Electronic Arts,1.04,2.4,0.0,0.27,3.71
177,7.0,Gears Of War 4,2016.0,Microsoft Studios,2.17,0.9,0.0,0.32,3.38
178,9.0,Rise Of The Tomb Raider,2015.0,Square Enix,0.61,0.82,0.03,0.12,1.58
179,5.0,Duke Nukem 3D: 20Th Anniversary World Tour,2016.0,Gearbox Software,0.08,0.0,0.0,0.01,0.09
180,7.0,Skylanders Imaginators,2016.0,Activision,0.19,0.05,0.0,0.03,0.27
181,9.0,Battlefield 1,2016.0,Electronic Arts,3.37,1.26,0.02,0.48,5.13
182,6.0,Wwe 2K17,2016.0,2K Games,0.26,0.26,0.0,0.05,0.57
183,9.0,Titanfall 2,2016.0,Electronic Arts,0.88,0.37,0.0,0.13,1.37
184,8.0,Call Of Duty: Infinite Warfare,2016.0,Activision,2.91,1.44,0.0,0.44,4.79
185,8.0,Dishonored 2,2016.0,Bethesda Softworks,0.47,0.31,0.0,0.08,0.86
186,7.0,Dragon Ball: Xenoverse 2,2016.0,Namco Bandai Games,0.33,0.09,0.0,0.05,0.47
187,8.0,Overcooked,2016.0,Sold Out,0.04,0.0,0.0,0.0,0.04
188,8.0,Watch Dogs 2,2016.0,Ubisoft,0.71,0.53,0.0,0.12,1.35
189,7.0,Dead Rising 4,2016.0,Microsoft Studios,0.41,0.25,0.0,0.06,0.73
190,7.0,Steep,2016.0,Ubisoft,0.24,0.2,0.0,0.04,0.48
191,8.0,Shadow Tactics: Blades Of The Shogun,2017.0,Kalypso Media,0.01,0.0,0.0,0.0,0.01
192,4.0,Space Hulk: Deathwing,2015.0,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0
193,8.0,Sniper Elite 4,2017.0,Rebellion Developments,0.18,0.09,0.0,0.03,0.3
194,6.0,Halo Wars 2,2017.0,Microsoft Studios,0.31,0.15,0.0,0.05,0.51
195,8.0,For Honor,2017.0,Ubisoft,0.57,0.21,0.0,0.08,0.87
196,4.0,Ride 2,2016.0,Milestone S.r.l,0.06,0.01,0.0,0.01,0.08
197,9.0,Torment: Tides Of Numenera,2017.0,Techland,0.01,0.0,0.0,0.0,0.01
198,6.0,Mass Effect: Andromeda,2017.0,Electronic Arts,0.5,0.2,0.0,0.07,0.78
199,5.0,Flatout 4: Total Insanity,2017.0,Bigben Interactive,0.01,0.0,0.0,0.0,0.01
200,6.0,Yooka-Laylee,2017.0,Sold Out,0.05,0.04,0.0,0.01,0.1
201,5.0,Has-Been Heroes,2017.0,GameTrust,0.04,0.0,0.0,0.01,0.05
202,8.0,Bulletstorm: Full Clip Edition,2017.0,Gearbox Software,0.06,0.01,0.0,0.01,0.08
203,8.0,Little Nightmares,2017.0,Namco Bandai Games,0.12,0.03,0.0,0.02,0.16
204,9.0,Injustice 2,2017.0,Warner Bros. Interactive Entertainment,0.65,0.16,0.0,0.09,0.89
205,7.0,The Surge,2017.0,Koch Media,0.07,0.04,0.0,0.01,0.12
206,6.0,Rime,2017.0,Grey Box,0.02,0.0,0.0,0.0,0.03
207,4.0,Friday The 13Th: The Game,2017.0,Gun Media,0.21,0.03,0.0,0.03,0.27
208,9.0,Dirt 4,2017.0,Codemasters,0.11,0.1,0.0,0.02,0.23
209,8.0,Tekken 7,2017.0,Namco Bandai Games,0.3,0.23,0.0,0.05,0.58
210,4.0,The Town Of Light,2017.0,THQ Nordic,0.01,0.0,0.0,0.0,0.01
211,6.0,Mega Man Legacy Collection 2,2017.0,Capcom,0.02,0.0,0.0,0.0,0.02
212,4.0,Agents Of Mayhem,2017.0,Deep Silver,0.07,0.03,0.0,0.01,0.11
213,7.0,The Pillars Of The Earth,2017.0,Kalypso Media,0.02,0.0,0.0,0.0,0.03
214,9.0,Madden Nfl 18,2017.0,EA Sports,1.63,0.07,0.0,0.2,1.91
215,9.0,F1 2017,2017.0,Koch Media,0.04,0.13,0.0,0.01,0.19
216,6.0,Ark: Survival Evolved,2017.0,Studio Wildcard,0.3,0.12,0.0,0.04,0.46
217,9.0,Stardew Valley,2017.0,505 Games,0.02,0.0,0.0,0.0,0.03
218,8.0,Destiny 2,2017.0,Activision,1.66,0.47,0.0,0.23,2.35
219,8.0,Marvel Vs. Capcom: Infinite,2017.0,Capcom,0.26,0.05,0.0,0.03,0.34
220,8.0,Dishonored: Death Of The Outsider,2017.0,Bethesda Softworks,0.07,0.06,0.0,0.01,0.14
221,7.0,Nhl 18,2017.0,EA Sports,0.32,0.03,0.0,0.04,0.39
222,7.0,Fifa 18,2017.0,EA Sports,0.98,1.92,0.0,0.23,3.14
223,7.0,Project Cars 2,2017.0,Namco Bandai Games,0.01,0.18,0.0,0.01,0.2
224,7.0,Nba Live 18,2017.0,EA Sports,0.18,0.0,0.0,0.02,0.21
225,8.0,Nba 2K18,2017.0,2K Sports,1.67,0.14,0.0,0.21,2.02
226,7.0,Wrc 7,2017.0,Bigben Interactive,0.04,0.0,0.0,0.01,0.05
227,6.0,Battle Chasers: Nightwar,2017.0,THQ Nordic,0.04,0.0,0.0,0.0,0.04
228,8.0,Forza Motorsport 7,2017.0,Microsoft Studios,0.58,0.81,0.01,0.12,1.52
229,7.0,Middle-Earth: Shadow Of War,2017.0,Warner Bros. Interactive Entertainment,0.75,0.29,0.0,0.11,1.15
230,8.0,South Park: The Fractured But Whole,2017.0,Ubisoft,0.4,0.17,0.0,0.06,0.62
231,5.0,Wwe 2K18,2017.0,2K Sports,0.35,0.25,0.0,0.06,0.66
232,4.0,Elex,2017.0,THQ Nordic,0.04,0.0,0.0,0.0,0.04
233,7.0,Assassin'S Creed Origins,2017.0,Ubisoft,1.34,0.92,0.0,0.22,2.47
234,9.0,Call Of Duty: Wwii,2017.0,Activision,3.75,1.91,0.0,0.57,6.23
235,6.0,Super Lucky'S Tale,2017.0,Microsoft Studios,0.13,0.07,0.0,0.02,0.22
236,5.0,Sonic Forces,2017.0,Sega,0.15,0.11,0.0,0.03,0.29
237,7.0,Lego Marvel Super Heroes 2,2017.0,Warner Bros. Interactive Entertainment,0.32,0.2,0.0,0.05,0.57
238,3.0,Hello Neighbor,2017.0,Gearbox Software,0.27,0.11,0.0,0.04,0.42
239,8.0,Playerunknown'S Battlegrounds,2017.0,Microsoft Studios,1.29,0.69,0.0,0.2,2.17
240,8.0,Child Of Light,,,0.0,0.0,0.0,0.0,0.0
241,4.0,We Happy Few,2018.0,Gearbox Software,0.07,0.01,0.0,0.01,0.09
