,score,Game
659,9.0,assassin's creed syndicate
662,8.0,halo 5: guardians
667,8.0,minecraft: story mode episode two -- assembly required
669,8.0,need for speed
672,7.0,call of duty: black ops 3
678,9.0,fallout 4
682,4.0,wwe 2k16
683,7.0,warhammer: end times -- vermintide
684,7.0,star wars battlefront
689,8.0,game of thrones: episode six — the ice dragon
690,8.0,minecraft: story mode episode three--the last place you look
693,6.0,the crew: wild run edition
697,8.0,just cause 3
701,8.0,rainbow six siege
705,7.0,assassin’s creed chronicles: india
706,8.0,oxenfree
707,7.0,resident evil 0: hd remaster
708,8.0,dirt rally
709,5.0,king's quest chapter 2: rubble without a cause
710,7.0,minecraft story mode--episode 4: a block and a hard place
712,7.0,this war of mine: the little ones
713,7.0,lego marvel's avengers
714,8.0,dying light: the following
716,7.0,plants vs. zombies: garden warfare 2
718,8.0,far cry primal
721,6.0,the walking dead: michonne - episode 1: in too deep
722,5.0,assassin's creed chronicles: russia
723,7.0,arslan: the warrior of legend
724,5.0,pillars of eternity: the white march part 2
726,7.0,naruto shippuden: ultimate ninja storm 4
730,7.0,hitman episode one
734,8.0,tom clancy's the division
738,7.0,ea sports ufc 2
741,7.0,cities: skylines snowfall
744,7.0,trackmania turbo
746,6.0,quantum break
748,8.0,dark souls 3
753,9.0,hyper light drifter
754,9.0,the walking dead: michonne - episode 2: give no shelter
755,8.0,baldur's gate: siege of dragonspear
756,8.0,the walking dead: michonne - episode 3: what we deserve
757,7.0,hitman episode two
761,7.0,battleborn
762,8.0,doom
765,5.0,homefront: the revolution
767,9.0,kerbal space program
768,8.0,jotun
769,9.0,xcom 2
772,9.0,overwatch
776,6.0,fallout 4 far harbor
781,4.0,teenage mutant ninja turtles: mutants in manhattan
782,8.0,the witcher 3: wild hunt - blood and wine
785,7.0,mirror's edge catalyst
788,6.0,sherlock holmes: the devil's daughter
789,7.0,tropico 5 penultimate edition
791,5.0,mighty no. 9
793,8.0,inside
794,7.0,lego star wars: the force awakens
796,7.0,the division: underground expansion
799,6.0,dead by daylight
801,2.0,7 days to die
803,6.0,song of the deep
805,6.0,the technomancer
806,3.0,ghostbusters
807,6.0,necropolis
808,8.0,batman - the telltale series: realm of shadows - episode 1
809,9.0,abzu
810,7.0,this is the police
811,7.0,no man's sky
812,8.0,deus ex: mankind divided
814,8.0,madden nfl 17
817,6.0,attack on titan
818,7.0,valley
819,8.0,f1 2016
820,7.0,nhl 17
822,6.0,recore
826,8.0,worms w.m.d.
828,6.0,batman - the telltale series: children of arkham - episode 2
829,9.0,forza horizon 3
832,8.0,pro evolution soccer 2017
833,9.0,nba2k17
836,6.0,destiny: rise of iron
843,9.0,fifa 17
847,7.0,gears of war 4
851,9.0,rise of the tomb raider
853,5.0,duke nukem 3d: 20th anniversary world tour
854,6.0,mafia 3
857,7.0,skylanders imaginators
860,8.0,shadow warrior 2
861,9.0,battlefield 1
867,6.0,wwe 2k17
869,9.0,titanfall 2
873,9.0,civilization 6
874,6.0,world of final fantasy
875,7.0,dark souls 3: ashes of ariandel
880,6.0,batman - the telltale series: new world order - episode 3
881,8.0,call of duty: infinite warfare
885,8.0,dishonored 2
888,7.0,dragon ball: xenoverse 2
891,8.0,hitman
896,8.0,overcooked
897,8.0,watch dogs 2
900,8.0,final fantasy 15
903,7.0,dead rising 4
904,7.0,cities: skylines - natural disasters
907,7.0,steep
911,8.0,shadow tactics: blades of the shogun
912,9.0,the walking dead: the telltale series - a new frontier ep. 1: ties that bind part one
913,8.0,the walking dead: the telltale series - a new frontier ep. 2: ties that bind part two
914,4.0,space hulk: deathwing
915,8.0,yakuza 0
916,8.0,resident evil 7: biohazard
920,8.0,sniper elite 4
921,6.0,halo wars 2
924,8.0,for honor
928,4.0,ride 2
930,7.0,super bomberman r
931,9.0,torment: tides of numenera
933,7.0,ghost recon: wildlands
937,6.0,styx: shards of darkness
938,8.0,shovel knight: specter of torment
939,6.0,mass effect: andromeda
941,8.0,dark souls 3: the ringed city
945,5.0,flatout 4: total insanity
946,7.0,snake pass
947,6.0,the walking dead: the telltale series - a new frontier ep. 3: above the law
948,6.0,yooka-laylee
950,5.0,has-been heroes
951,8.0,bulletstorm: full clip edition
952,9.0,thumper
953,7.0,guardians of the galaxy - episode 1: tangled up in blue
