,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
229,spintires: mudrunner,2017,Simulation,Focus Home Interactive,0.11,0.02,0.0,0.01,0.15
230,dmc: devil may cry,2015,Action,Capcom,0.09,0.04,0.0,0.01,0.15
231,attack on titan (koei),2016,Action,Tecmo Koei,0.06,0.07,0.0,0.01,0.15
232,tony hawk's pro skater 5,2015,Sports,Activision,0.11,0.02,0.0,0.01,0.14
233,naruto shippuden: ultimate ninja storm legacy,2017,Fighting,Namco Bandai Games,0.11,0.02,0.0,0.01,0.14
234,the walking dead: season two,2014,Misc,Telltale Games,0.08,0.05,0.0,0.01,0.14
235,resident evil: revelations 2,2015,Action,Capcom,0.1,0.02,0.0,0.01,0.14
236,dishonored: death of the outsider,2017,Action,Bethesda Softworks,0.07,0.06,0.0,0.01,0.14
237,ultimate marvel vs. capcom 3,2017,Fighting,Capcom,0.12,0.0,0.0,0.01,0.14
238,the elder scrolls online: morrowind,2017,MMO,Bethesda Softworks,0.09,0.03,0.0,0.01,0.14
239,hasbro family fun pack,2015,Misc,Ubisoft,0.1,0.02,0.0,0.01,0.13
240,rocksmith 2014 edition remastered,2016,Music,Ubisoft,0.12,0.0,0.0,0.01,0.13
241,song of the deep,2016,Action,Insomniac Games,0.12,0.0,0.0,0.01,0.13
242,nba live 16,2015,Sports,EA Sports,0.11,0.01,0.0,0.01,0.13
243,outlast trinity,2017,Action,Warner Bros. Interactive Entertainment,0.1,0.02,0.0,0.01,0.13
244,sonic mania,2017,Platform,Sega,0.09,0.03,0.0,0.01,0.13
245,dead by daylight,2017,Action,505 Games,0.08,0.03,0.0,0.01,0.12
246,darksiders iii,2018,Action,THQ Nordic,0.11,0.0,0.0,0.01,0.12
247,vampyr,2018,Role-Playing,Focus Home Interactive,0.07,0.04,0.0,0.01,0.12
248,the walking dead - the telltale series: a new frontier,2017,Adventure,Warner Bros. Interactive Entertainment,0.1,0.01,0.0,0.01,0.12
249,nascar heat 2,2017,Racing,505 Games,0.11,0.0,0.0,0.01,0.12
250,life is strange,2016,Adventure,Square Enix,0.08,0.03,0.0,0.01,0.12
251,wolfenstein the two pack,2017,Shooter,Bethesda Softworks,0.11,0.0,0.0,0.01,0.12
252,the surge,2017,Action,Koch Media,0.07,0.04,0.0,0.01,0.12
253,naruto shippuden ultimate ninja storm 4: road to boruto,2017,Fighting,Namco Bandai Games,0.11,0.0,0.0,0.01,0.12
254,pro evolution soccer 2016,2015,Sports,Konami Digital Entertainment,0.05,0.06,0.0,0.01,0.12
255,pro evolution soccer 2018,2017,Sports,Konami Digital Entertainment,0.06,0.05,0.0,0.01,0.12
256,7 days to die,2016,Action,Telltale Games,0.09,0.02,0.0,0.01,0.12
257,zombie army trilogy,2015,Shooter,Rebellion Developments,0.05,0.05,0.0,0.01,0.12
258,prototype: biohazard bundle,2016,Action,Activision,0.1,0.0,0.0,0.01,0.11
259,ride,2015,Racing,Milestone S.r.l.,0.05,0.05,0.0,0.01,0.11
260,agents of mayhem,2017,Action,Deep Silver,0.07,0.03,0.0,0.01,0.11
261,metal gear solid v: the definitive experience,2016,Action,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11
262,killer instinct (2013),2014,Fighting,Microsoft Studios,0.07,0.03,0.0,0.01,0.11
263,mxgp 2,2016,Racing,Milestone S.r.l.,0.07,0.02,0.0,0.01,0.1
264,nascar heat evolution,2016,Racing,Dusenberry Martin Racing,0.09,0.0,0.0,0.01,0.1
265,trackmania turbo,2016,Racing,Ubisoft,0.05,0.04,0.0,0.01,0.1
