,score,Game,Year,Publisher,North America,Europe,Japan,Rest of World,Global
143,4.0,wwe 2k16,2015.0,Take-Two Interactive,0.34,0.24,0.0,0.06,0.63
144,8.0,just cause 3,2015.0,Square Enix,0.52,0.41,0.0,0.09,1.01
145,8.0,dirt rally,2016.0,Codemasters,0.12,0.08,0.0,0.02,0.21
146,7.0,lego marvel's avengers,2016.0,Warner Bros. Interactive Entertainment,0.26,0.18,0.0,0.04,0.48
147,7.0,plants vs. zombies: garden warfare 2,2016.0,Electronic Arts,0.47,0.32,0.0,0.08,0.86
148,5.0,assassin's creed chronicles: russia,,,0.0,0.0,0.0,0.0,0.0
149,7.0,naruto shippuden: ultimate ninja storm 4,2016.0,Namco Bandai Games,0.25,0.07,0.0,0.03,0.35
150,8.0,tom clancy's the division,2016.0,Ubisoft,1.54,0.82,0.0,0.24,2.59
151,7.0,ea sports ufc 2,2016.0,EA Sports,0.36,0.19,0.0,0.06,0.61
152,7.0,trackmania turbo,2016.0,Ubisoft,0.05,0.04,0.0,0.01,0.1
153,6.0,quantum break,2016.0,Microsoft Studios,0.42,0.25,0.02,0.07,0.76
154,9.0,hyper light drifter,,,0.0,0.0,0.0,0.0,0.0
155,7.0,battleborn,2016.0,2K Games,0.2,0.05,0.0,0.03,0.28
156,5.0,homefront: the revolution,2016.0,Deep Silver,0.1,0.09,0.0,0.02,0.21
157,9.0,xcom 2,2016.0,2K Games,0.15,0.02,0.0,0.02,0.19
158,9.0,overwatch,2016.0,Blizzard Entertainment,1.63,0.84,0.0,0.25,2.72
159,4.0,teenage mutant ninja turtles: mutants in manhattan,2016.0,Activision,0.05,0.01,0.0,0.01,0.07
160,6.0,sherlock holmes: the devil's daughter,2016.0,Bigben Interactive,0.05,0.0,0.0,0.01,0.06
161,5.0,mighty no. 9,2016.0,Deep Silver,0.04,0.0,0.0,0.01,0.05
162,8.0,inside,,,0.0,0.0,0.0,0.0,0.0
163,7.0,lego star wars: the force awakens,2016.0,Warner Bros. Interactive Entertainment,0.24,0.22,0.0,0.04,0.5
164,6.0,dead by daylight,2017.0,505 Games,0.08,0.03,0.0,0.01,0.12
165,2.0,7 days to die,2016.0,Telltale Games,0.09,0.02,0.0,0.01,0.12
166,6.0,song of the deep,2016.0,Insomniac Games,0.12,0.0,0.0,0.01,0.13
167,6.0,the technomancer,2016.0,Focus Home Interactive,0.03,0.02,0.0,0.0,0.05
168,9.0,abzu,2017.0,505 Games,0.02,0.0,0.0,0.0,0.02
169,7.0,this is the police,2017.0,THQ Nordic,0.0,0.0,0.0,0.0,0.01
170,8.0,deus ex: mankind divided,2016.0,Square Enix,0.25,0.11,0.0,0.04,0.39
171,8.0,madden nfl 17,2016.0,EA Sports,2.14,0.04,0.0,0.26,2.44
172,7.0,nhl 17,2016.0,EA Sports,0.52,0.01,0.0,0.06,0.6
173,6.0,recore,2016.0,Microsoft Studios,0.16,0.06,0.01,0.02,0.26
174,9.0,forza horizon 3,2016.0,Microsoft Studios,1.64,1.96,0.02,0.32,3.93
175,8.0,pro evolution soccer 2017,2016.0,Konami Digital Entertainment,0.05,0.03,0.0,0.01,0.1
176,9.0,fifa 17,2016.0,Electronic Arts,1.04,2.4,0.0,0.27,3.71
177,7.0,gears of war 4,2016.0,Microsoft Studios,2.17,0.9,0.0,0.32,3.38
178,9.0,rise of the tomb raider,2015.0,Square Enix,0.61,0.82,0.03,0.12,1.58
179,5.0,duke nukem 3d: 20th anniversary world tour,2016.0,Gearbox Software,0.08,0.0,0.0,0.01,0.09
180,7.0,skylanders imaginators,2016.0,Activision,0.19,0.05,0.0,0.03,0.27
181,9.0,battlefield 1,2016.0,Electronic Arts,3.37,1.26,0.02,0.48,5.13
182,6.0,wwe 2k17,2016.0,2K Games,0.26,0.26,0.0,0.05,0.57
183,9.0,titanfall 2,2016.0,Electronic Arts,0.88,0.37,0.0,0.13,1.37
184,8.0,call of duty: infinite warfare,2016.0,Activision,2.91,1.44,0.0,0.44,4.79
185,8.0,dishonored 2,2016.0,Bethesda Softworks,0.47,0.31,0.0,0.08,0.86
186,7.0,dragon ball: xenoverse 2,2016.0,Namco Bandai Games,0.33,0.09,0.0,0.05,0.47
187,8.0,overcooked,2016.0,Sold Out,0.04,0.0,0.0,0.0,0.04
188,8.0,watch dogs 2,2016.0,Ubisoft,0.71,0.53,0.0,0.12,1.35
189,7.0,dead rising 4,2016.0,Microsoft Studios,0.41,0.25,0.0,0.06,0.73
190,7.0,steep,2016.0,Ubisoft,0.24,0.2,0.0,0.04,0.48
191,8.0,shadow tactics: blades of the shogun,2017.0,Kalypso Media,0.01,0.0,0.0,0.0,0.01
192,4.0,space hulk: deathwing,2015.0,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0
193,8.0,sniper elite 4,2017.0,Rebellion Developments,0.18,0.09,0.0,0.03,0.3
194,6.0,halo wars 2,2017.0,Microsoft Studios,0.31,0.15,0.0,0.05,0.51
195,8.0,for honor,2017.0,Ubisoft,0.57,0.21,0.0,0.08,0.87
196,4.0,ride 2,2016.0,Milestone S.r.l,0.06,0.01,0.0,0.01,0.08
197,9.0,torment: tides of numenera,2017.0,Techland,0.01,0.0,0.0,0.0,0.01
198,6.0,mass effect: andromeda,2017.0,Electronic Arts,0.5,0.2,0.0,0.07,0.78
199,5.0,flatout 4: total insanity,2017.0,Bigben Interactive,0.01,0.0,0.0,0.0,0.01
200,6.0,yooka-laylee,2017.0,Sold Out,0.05,0.04,0.0,0.01,0.1
201,5.0,has-been heroes,2017.0,GameTrust,0.04,0.0,0.0,0.01,0.05
202,8.0,bulletstorm: full clip edition,2017.0,Gearbox Software,0.06,0.01,0.0,0.01,0.08
203,8.0,little nightmares,2017.0,Namco Bandai Games,0.12,0.03,0.0,0.02,0.16
204,9.0,injustice 2,2017.0,Warner Bros. Interactive Entertainment,0.65,0.16,0.0,0.09,0.89
205,7.0,the surge,2017.0,Koch Media,0.07,0.04,0.0,0.01,0.12
206,6.0,rime,2017.0,Grey Box,0.02,0.0,0.0,0.0,0.03
207,4.0,friday the 13th: the game,2017.0,Gun Media,0.21,0.03,0.0,0.03,0.27
208,9.0,dirt 4,2017.0,Codemasters,0.11,0.1,0.0,0.02,0.23
209,8.0,tekken 7,2017.0,Namco Bandai Games,0.3,0.23,0.0,0.05,0.58
210,4.0,the town of light,2017.0,THQ Nordic,0.01,0.0,0.0,0.0,0.01
211,6.0,mega man legacy collection 2,2017.0,Capcom,0.02,0.0,0.0,0.0,0.02
212,4.0,agents of mayhem,2017.0,Deep Silver,0.07,0.03,0.0,0.01,0.11
213,7.0,the pillars of the earth,2017.0,Kalypso Media,0.02,0.0,0.0,0.0,0.03
214,9.0,madden nfl 18,2017.0,EA Sports,1.63,0.07,0.0,0.2,1.91
215,9.0,f1 2017,2017.0,Koch Media,0.04,0.13,0.0,0.01,0.19
216,6.0,ark: survival evolved,2017.0,Studio Wildcard,0.3,0.12,0.0,0.04,0.46
217,9.0,stardew valley,2017.0,505 Games,0.02,0.0,0.0,0.0,0.03
218,8.0,destiny 2,2017.0,Activision,1.66,0.47,0.0,0.23,2.35
219,8.0,marvel vs. capcom: infinite,2017.0,Capcom,0.26,0.05,0.0,0.03,0.34
220,8.0,dishonored: death of the outsider,2017.0,Bethesda Softworks,0.07,0.06,0.0,0.01,0.14
221,7.0,nhl 18,2017.0,EA Sports,0.32,0.03,0.0,0.04,0.39
222,7.0,fifa 18,2017.0,EA Sports,0.98,1.92,0.0,0.23,3.14
223,7.0,project cars 2,2017.0,Namco Bandai Games,0.01,0.18,0.0,0.01,0.2
224,7.0,nba live 18,2017.0,EA Sports,0.18,0.0,0.0,0.02,0.21
225,8.0,nba 2k18,2017.0,2K Sports,1.67,0.14,0.0,0.21,2.02
226,7.0,wrc 7,2017.0,Bigben Interactive,0.04,0.0,0.0,0.01,0.05
227,6.0,battle chasers: nightwar,2017.0,THQ Nordic,0.04,0.0,0.0,0.0,0.04
228,8.0,forza motorsport 7,2017.0,Microsoft Studios,0.58,0.81,0.01,0.12,1.52
229,7.0,middle-earth: shadow of war,2017.0,Warner Bros. Interactive Entertainment,0.75,0.29,0.0,0.11,1.15
230,8.0,south park: the fractured but whole,2017.0,Ubisoft,0.4,0.17,0.0,0.06,0.62
231,5.0,wwe 2k18,2017.0,2K Sports,0.35,0.25,0.0,0.06,0.66
232,4.0,elex,2017.0,THQ Nordic,0.04,0.0,0.0,0.0,0.04
233,7.0,assassin's creed origins,2017.0,Ubisoft,1.34,0.92,0.0,0.22,2.47
234,9.0,call of duty: wwii,2017.0,Activision,3.75,1.91,0.0,0.57,6.23
235,6.0,super lucky's tale,2017.0,Microsoft Studios,0.13,0.07,0.0,0.02,0.22
236,5.0,sonic forces,2017.0,Sega,0.15,0.11,0.0,0.03,0.29
237,7.0,lego marvel super heroes 2,2017.0,Warner Bros. Interactive Entertainment,0.32,0.2,0.0,0.05,0.57
238,3.0,hello neighbor,2017.0,Gearbox Software,0.27,0.11,0.0,0.04,0.42
239,8.0,playerunknown's battlegrounds,2017.0,Microsoft Studios,1.29,0.69,0.0,0.2,2.17
240,8.0,child of light,,,0.0,0.0,0.0,0.0,0.0
241,4.0,we happy few,2018.0,Gearbox Software,0.07,0.01,0.0,0.01,0.09
