,Game,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,genres,release_year,Publisher,global_unit_sales
100,Assassin'S Creed Syndicate,78,22,6.3,504.0,M,"['Historic', ' Action Adventure', ' Open-World']",2015,Ubisoft,1.44
101,Dead Rising 3,78,69,6.9,953.0,M,"['General', ' Action', ' Action Adventure', ' General', ' Open-World']",2013,Microsoft Studios,1.63
102,Call Of Duty: Infinite Warfare,78,18,3.7,415.0,M,"['Action', ' Shooter', ' First-Person', ' Tactical']",2016,Activision,4.79
103,Aven Colony,77,12,7.7,7.0,E10+,"['Strategy', ' Management', ' Government']",2017,Sold Out,0.06
104,Lego City Undercover,77,16,6.7,22.0,E10+,"['Action Adventure', ' Open-World']",2017,Warner Bros. Interactive Entertainment,0.3
105,Ea Sports Ufc 3,77,17,5.3,54.0,T,"['Sports', ' Individual', ' Combat', ' Boxing / Martial Arts']",2018,EA Sports,0.44
106,The Escapists 2,77,10,6.5,6.0,T,"['Action', ' General']",2017,Sold Out,0.15
107,#Idarb,77,31,6.9,85.0,E,"['Action', ' General']",2015,,0.0
108,Nhl 17,77,23,4.1,58.0,E10+,"['Sports', ' Team', ' Ice Hockey', ' Sim']",2016,EA Sports,0.6
109,Batman: Return To Arkham,77,6,8.2,82.0,T,"['Miscellaneous', ' Compilation']",2016,Warner Bros. Interactive Entertainment,0.2
110,Marvel Vs. Capcom: Infinite,77,16,5.2,59.0,T,"['Action', ' Fighting', ' 2D']",2017,Capcom,0.34
111,L.A. Noire,77,12,7.6,59.0,M,"['Action Adventure', ' Adventure', ' 3D', ' Open-World', ' Third-Person']",2017,Rockstar Games,0.25
112,Ziggurat,77,6,7.9,16.0,T,"['Action', ' Shooter', ' First-Person', ' Arcade']",2015,Soedesco,0.01
113,Portal Knights,77,7,6.7,12.0,E10+,"['Action', ' Role-Playing', ' General', ' Action RPG']",2017,505 Games,0.02
114,Nhl 18,77,16,4.0,46.0,E10+,"['Sports', ' Team', ' Ice Hockey', ' Sim']",2017,EA Sports,0.39
115,Broken Sword 5: The Serpent'S Curse,77,12,7.0,14.0,T,"['Adventure', ' General']",2015,Revolution Software,0.02
116,Peggle 2,77,39,7.1,216.0,E,"['Miscellaneous', ' Puzzle', ' Action', ' General', ' General']",2013,,0.0
117,The Banner Saga,76,9,7.9,33.0,T,"['Role-Playing', ' General', ' Strategy', ' Turn-Based', ' Tactics']",2016,,0.0
118,The Elder Scrolls Online: Morrowind,76,7,5.8,27.0,M,"['Role-Playing', ' Massively Multiplayer']",2017,Bethesda Softworks,0.14
119,Trackmania Turbo,76,12,7.3,36.0,E,"['Racing', ' Arcade', ' Automobile']",2016,Ubisoft,0.1
120,Hyper Light Drifter,76,8,6.8,22.0,T,"['Role-Playing', ' Action RPG']",2016,,0.0
121,Ea Sports Ufc 2,76,42,5.6,90.0,T,"['Sports', ' General', ' Individual', ' Combat', ' Boxing / Martial Arts']",2016,EA Sports,0.61
122,Redout,76,10,7.9,27.0,E,"['Racing', ' General', ' Arcade', ' Futuristic']",2017,505 Games,0.02
123,Unravel,75,23,8.0,132.0,E,"['Action', ' Platformer', ' 2D']",2016,,0.0
124,Code Vein,75,14,7.6,95.0,M,"['Role-Playing', ' Action RPG']",2019,Bandai Namco Entertainment,0.0
125,Wolfenstein: The Old Blood,75,23,7.9,129.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']",2015,Bethesda Softworks,0.15
126,Destiny,75,11,5.5,1760.0,T,"['Shooter', ' Sci-Fi', ' Action', ' Shooter', ' First-Person', ' Sci-Fi', ' Arcade']",2014,Activision,3.41
127,Resident Evil: Revelations 2,75,22,7.8,151.0,M,"['Horror', ' Action Adventure', ' Survival']",2015,Capcom,0.14
128,Evolve,74,31,5.1,347.0,M,"['Action', ' Shooter', ' First-Person', ' Sci-Fi', ' Arcade']",2015,2K Games,0.67
129,Gigantic,74,12,7.5,30.0,T,"['Strategy', ' Real-Time', ' MOBA']",2017,,0.0
130,Lego Marvel Super Heroes 2,74,18,7.6,16.0,E10+,"['Action', ' Platformer', ' 3D']",2017,Warner Bros. Interactive Entertainment,0.57
131,Tachyon Project,74,11,6.9,8.0,E,"['Action', ' Shooter', "" Shoot-'Em-Up"", ' Top-Down']",2015,,0.0
132,Dying Light,74,26,7.8,435.0,M,"['Horror', ' Action Adventure', ' Horror', ' Survival']",2015,Warner Bros. Interactive Entertainment,1.47
133,Lego Batman 3: Beyond Gotham,74,25,6.9,44.0,E10+,"['Action Adventure', ' General', ' Modern']",2014,Warner Bros. Interactive Entertainment,0.44
134,Just Dance 2017,73,7,6.6,11.0,E10+,"['Action', ' Rhythm', ' Dancing']",2016,Ubisoft,0.34
135,Motogp 17,73,5,6.6,5.0,E,"['Racing', ' Arcade', ' Automobile']",2017,Koch Media,0.06
