,Game,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,genres,release_date,Year,Publisher,North America,Europe,Japan,Rest of World,Global
111,Peggle 2,77,39,7.1,216.0,E,"['Miscellaneous', ' Puzzle', ' Action', ' General', ' General']","Dec 9, 2013",,,0.0,0.0,0.0,0.0,0.0
112,The Banner Saga,76,9,7.9,33.0,T,"['Role-Playing', ' General', ' Strategy', ' Turn-Based', ' Tactics']","Jan 12, 2016",,,0.0,0.0,0.0,0.0,0.0
113,The Elder Scrolls Online: Morrowind,76,7,5.8,27.0,M,"['Role-Playing', ' Massively Multiplayer']","Jun 6, 2017",2017.0,Bethesda Softworks,0.09,0.03,0.0,0.01,0.14
114,Hyper Light Drifter,76,8,6.8,22.0,T,"['Role-Playing', ' Action RPG']","Jul 26, 2016",,,0.0,0.0,0.0,0.0,0.0
115,EA Sports UFC 2,76,42,5.6,90.0,T,"['Sports', ' General', ' Individual', ' Combat', ' Boxing / Martial Arts']","Mar 15, 2016",2016.0,EA Sports,0.36,0.19,0.0,0.06,0.61
116,Redout,76,10,7.9,27.0,E,"['Racing', ' General', ' Arcade', ' Futuristic']","Aug 29, 2017",2017.0,505 Games,0.02,0.0,0.0,0.0,0.02
117,Unravel,75,23,8.0,132.0,E,"['Action', ' Platformer', ' 2D']","Feb 9, 2016",,,0.0,0.0,0.0,0.0,0.0
118,Code Vein,75,14,7.6,95.0,M,"['Role-Playing', ' Action RPG']","Sep 27, 2019",2019.0,Bandai Namco Entertainment,0.0,0.0,0.0,0.0,0.0
119,Wolfenstein: The Old Blood,75,23,7.9,129.0,M,"['Action', ' Shooter', ' First-Person', ' Arcade']","May 5, 2015",2015.0,Bethesda Softworks,0.07,0.07,0.0,0.01,0.15
120,Destiny,75,11,5.5,1760.0,T,"['Shooter', ' Sci-Fi', ' Action', ' Shooter', ' First-Person', ' Sci-Fi', ' Arcade']","Sep 9, 2014",2014.0,Activision,2.17,0.92,0.0,0.32,3.41
121,Resident Evil: Revelations 2,75,22,7.8,151.0,M,"['Horror', ' Action Adventure', ' Survival']","Mar 17, 2015",2015.0,Capcom,0.1,0.02,0.0,0.01,0.14
122,Evolve,74,31,5.1,347.0,M,"['Action', ' Shooter', ' First-Person', ' Sci-Fi', ' Arcade']","Feb 10, 2015",2015.0,2K Games,0.4,0.2,0.0,0.06,0.67
123,Gigantic,74,12,7.5,30.0,T,"['Strategy', ' Real-Time', ' MOBA']","Jul 20, 2017",,,0.0,0.0,0.0,0.0,0.0
