,title,metacritic_score,metacritic_review_count,user_score,user_review_count,content_rating,developer,genres,release_date
790,Unmechanical: Extended Edition,66,14,7.1,10.0,E,Grip Games,"['Action, Puzzle, General, Platformer, 2D']","Jan 30, 2015"
791,Call of Cthulhu,66,12,6.0,46.0,M,"Cyanide, Cyanide Studios","['Role-Playing, General']","Oct 30, 2018"
792,Adventure Time: Pirates of the Enchiridion,66,6,7.3,18.0,E10+,Bandai Namco Games,"['Action Adventure, Open-World']","Jul 17, 2018"
793,Through the Woods,66,7,7.0,4.0,M,Antagonist,"['Action Adventure, Survival']","May 2, 2018"
794,Vaporum,66,8,7.2,5.0,T,Merge Games,"['Role-Playing, Action RPG']","Apr 10, 2019"
795,Citizens of Space,66,4,,,T,Sega,"['Role-Playing, Japanese-Style']","Jun 18, 2019"
796,State of Decay 2,66,70,5.3,849.0,M,Undead Labs,"['Action Adventure, Open-World']","May 18, 2018"
797,FlatOut 4: Total Insanity,66,15,5.9,20.0,T,"Strategy First, Kylotonn","['Racing, Arcade, Automobile']","Mar 17, 2017"
798,Rise & Shine,66,28,6.2,18.0,M,"Super Mega Team, Super Awesome Hyper Dimensional Mega Team","['Action, Platformer, 2D']","Jan 13, 2017"
799,Vesta,66,6,,,E,FinalBoss Games,"['Action Adventure, General']","Jan 19, 2018"
800,Maize,66,6,,,T,Finish Line Games,"['Adventure, General']","Sep 12, 2017"
801,Hitman HD Enhanced Collection,66,6,4.6,7.0,M,IO Entertainment,"['Miscellaneous, Compilation']","Jan 11, 2019"
802,NBA Playgrounds,66,21,5.9,29.0,E,Saber Interactive,"['Sports, Team, Basketball, Arcade']","May 9, 2017"
803,SkyKeepers,66,4,,,E,Sword Twin Studios,"['Action, Platformer, 2D']","Mar 31, 2017"
804,Attack of the Earthlings,66,4,,,T,Team Junkfish,"['Strategy, Turn-Based, Tactics']","Mar 5, 2019"
805,Never Alone,66,14,6.7,39.0,E10+,Upper One Games,"['Action, Platformer, 2D']","Nov 19, 2014"
806,Just Dance 2016,66,10,6.1,18.0,E10+,Ubisoft,"['Action, Rhythm, Dancing']","Oct 20, 2015"
807,Sherlock Holmes: The Devil's Daughter,66,12,7.2,45.0,T,Frogwares,"['Adventure, General']","Jun 10, 2016"
808,Agatha Christie's The ABC Murders,66,7,6.6,10.0,T,Microids,"['Adventure, 3D, Third-Person']","Feb 23, 2016"
809,Vambrace: Cold Soul,66,6,5.7,7.0,T,Devespresso Games,"['Adventure, General']","Aug 28, 2019"
810,Ride 2,66,7,7.4,13.0,E,Milestone S.r.l,"['Racing, Simulation, Automobile']","Feb 14, 2017"
811,Scribblenauts Showdown,66,9,,,E10+,"Warner Bros. Interactive Entertainment, Shiver Games","['Puzzle, Action']","Mar 6, 2018"
812,Adventure Time: Finn and Jake Investigations,66,9,5.5,11.0,E10+,Vicious Cycle,"['Adventure, 3D, Third-Person']","Oct 20, 2015"
813,39 Days to Mars,66,6,,,E,It's Anecdotal,"['Puzzle, Action']","Feb 6, 2019"
814,Another World: 20th Anniversary Edition,65,6,3.8,28.0,T,The Digital Lounge,"['Action, Adventure, General, Platformer, 2D']","Jun 25, 2014"
815,Call of Duty: Ghosts - Onslaught,65,12,4.1,43.0,M,Infinity Ward,"['Action, Shooter, First-Person, Modern, Arcade']","Jan 28, 2014"
816,Batman: The Telltale Series - Episode 1: Realm of Shadows,65,15,6.8,39.0,M,Telltale Games,"['Adventure, Point-and-Click']","Aug 2, 2016"
817,Payday 2: Crimewave Edition,65,17,3.6,96.0,M,Overkill Software,"['Action, Shooter, First-Person, General, Fantasy, Arcade']","Jun 16, 2015"
818,Flockers,65,10,4.9,9.0,T,Team17,"['Puzzle, Action']","Sep 19, 2014"
819,Tales From The Borderlands: Episode 3 - Catch A Ride,65,6,7.3,19.0,M,Telltale Games,"['Adventure, General']","Jun 24, 2015"
820,Saints Row: Gat Out of Hell,65,16,6.3,34.0,M,Volition Inc.,"['Action Adventure, General, Modern, Open-World']","Jan 20, 2015"
821,Lightfield,65,4,,,E,Lost in the Garden,"['Racing, Arcade, Futuristic']","Sep 26, 2017"
